"Indicator_type","Data","Note",
"domain","tiger01.cc","Fake Android app / website web JSON backend",
"domain","tmsfin.com","Fake Android app / website web JSON backend",
"domain","towerresearch.co","fake web app site",
"domain","towerresearch.io","Fake Android app / website web JSON backend",
"domain","towerresearch.one","Fake Android app / website web JSON backend",
"domain","towerresearch.pro","fake web app site",
"domain","tscoints.com","Fake Android app / website web JSON backend",
"domain","tscoints.lol","Fake Android app / website web JSON backend",
"domain","uuexcoin.com","Fake Android app / website web JSON backend",
"domain","uuexpro.io","fake defi app site",
"domain","virgo-eth.vip","fake web app site",
"domain","virgo.vip","fake web app site",
"domain","wap.acyap.top","fake web app site",
"domain","wap.ahqap.vip","fake web app site",
"domain","wap.alinamoney.cn","fake web app site",
"domain","wap.ameritdap.com","fake web app site",
"domain","wap.ba1260.com","fake web app site",
"domain","wap.ba1762.com","fake web app site",
"domain","wap.ba2308.com","fake web app site",
"domain","wap.ba2992.vip","fake web app site",
"domain","wap.ba3113.vip","fake web app site",
"domain","wap.ba3289.com","fake web app site",
"domain","wap.ba8733.space","fake web app site",
"domain","wap.ba9988.space","fake web app site",
"domain","wap.bcmap.vip","fake web app site",
"domain","wap.bitaysp.com","fake web app site",
"domain","wap.bitayssa.com","fake web app site",
"domain","wap.bitayssa.com?shiny","fake web app site",
"domain","wap.bitexsap.vip","fake web app site",
"domain","wap.bitpp.top","fake web app site",
"domain","wap.bitseap.vip","fake web app site",
"domain","wap.bittrexap.space","fake web app site",
"domain","wap.blockpap.vip","fake web app site",
"domain","wap.blockpros.vip","fake web app site",
"domain","wap.blockprp.com","fake web app site",
"domain","wap.blockwap.com","fake web app site",
"domain","wap.bmexglobal822.xyz","fake web app site",
"domain","wap.byteap.vip","fake web app site",
"domain","wap.bzuap.vip","fake web app site",
"domain","wap.bzuuap.vip","fake web app site",
"domain","wap.capitalap.vip","fake web app site",
"domain","wap.capitalonewap.vip","fake web app site",
"domain","wap.cbccysap.vip","fake web app site",
"domain","wap.cboexap.vip","fake web app site",
"domain","wap.cbons.io","fake web app site",
"domain","wap.cbous.io","fake web app site",
"domain","wap.cbous.iod","Fake Android app / website web JSON backend",
"domain","wap.charrajp.com","fake web app site",
"domain","wap.cmegba.com","fake web app site",
"domain","wap.cmegraup.com","fake web app site",
"domain","wap.cmegroap.top","fake web app site",
"domain","wap.cmegroup.top","fake web app site",
"domain","wap.cmegroup123.com","fake web app site",
"domain","wap.cmegsap.vip","fake web app site",
"domain","wap.cmegss.vip","fake web app site",
"domain","wap.cmegwap.vip","fake web app site",
"domain","wap.coingateap.vip","fake web app site",
"domain","wap.coinworldap.vip","fake web app site",
"domain","wap.colaap.vip","fake web app site",
"domain","wap.coworldap.vip","fake web app site",
"domain","wap.cptmap.vip","fake web app site",
"domain","wap.cptmsp.vip","fake web app site",
"domain","wap.dexcoinap.vip","fake web app site",
"domain","wap.dggdpp.com","fake web app site",
"domain","wap.dggdsap.com","fake web app site",
"domain","wap.dgwet.xyz","fake web app site",
"domain","wap.digitalfp.vip","fake web app site",
"domain","wap.eer9.com","fake web app site",
"domain","wap.eminim.vip","fake web app site",
"domain","wap.eminimp.top","fake web app site",
"domain","wap.forexfxwap.com","fake web app site",
"domain","wap.ghcap.vip","fake web app site",
"domain","wap.gml678.xyz","fake web app site",
"domain","wap.guyunap.shop","Fake Android app / website web JSON backend",
"domain","wap.guyunap.shop/","fake web app site",
"domain","wap.hantecap.vip","fake web app site",
"domain","wap.hopexpp.com","fake web app site",
"domain","wap.hotbitwap.vip","fake web app site",
"domain","wap.hotcoinap.vip","fake web app site",
"domain","wap.lmaxexap.vip","fake web app site",
"domain","wap.lmosexap.vip","fake web app site",
"domain","wap.mathms.vip","fake web app site",
"domain","wap.megamwap.vip","fake web app site",
"domain","wap.msmca.vip","fake web app site",
"domain","wap.mycryap.space/","fake web app site",
"domain","wap.nexap.vip","fake web app site",
"domain","wap.nexcoba.com","fake web app site",
"domain","wap.oamdiap.vip","fake web app site",
"domain","wap.okcoinap.vip","fake web app site",
"domain","wap.orangexx.cc","fake web app site",
"domain","wap.otcprousdt.xyz","fake web app site",
"domain","wap.otcusdt.xyz","fake web app site",
"domain","wap.panna-cotta.cn","fake web app site",
"domain","wap.paxtunap.com","fake web app site",
"domain","wap.pbpb.vip","fake web app site",
"domain","wap.poolednw.vip","fake web app site",
"domain","wap.pooledwap.vip","fake web app site",
"domain","wap.prcbrokerap.vip","fake web app site",
"domain","wap.robinhandap.vip","fake web app site",
"domain","wap.robinhs.com","fake web app site",
"domain","wap.safeg.com.cn","fake web app site",
"domain","wap.sdudwap.xyz","fake web app site",
"domain","wap.starfishap.vip","fake web app site",
"domain","wap.suncoins.live/","fake web app site",
"domain","wap.ucoinap.vip","fake web app site",
"domain","wap.vantgap.vip","fake web app site",
"domain","wap.vbn23.xyz","fake web app site",
"domain","wap.wbfexwap.com","fake web app site",
"domain","wap.wejnt.vip","fake web app site",
"domain","wap.windsorap.vip","fake web app site",
"domain","wap.witech123.com","fake web app site",
"domain","wap.wwfap.vip","fake web app site",
"domain","wap.yibitap.vip","fake web app site",
"domain","wap.yibits.cc","fake web app site",
"domain","wap.yibits.top","fake web app site",
"domain","wap.zbap.space","fake web app site",
"domain","wap.zminv.top","fake web app site",
"domain","wincoin-eth.com","fake web app site",
"domain","winwincoin.me","Fake Android app / website web JSON backend",
"domain","www.achainps.vip","fake web app site",
"domain","www.actradeap.vip","fake web app site",
"domain","www.actrades.vip","fake web app site",
"domain","www.amerioss.com","fake web app site",
"domain","www.ameritr.com","fake web app site",
"domain","www.asndems.com","fake web app site",
"domain","www.avatraap.com","fake web app site",
"domain","www.avatraap.com?shiny","fake web app site",
"domain","www.baktta.com","Fake app download site",
"domain","www.batcipe.vip","Fake Android app / website web JSON backend",
"domain","www.bbitftpp.vip","fake web app site",
"domain","www.bbitftps.vip","Fake app download site",
"domain","www.bcgroupji.vip","fake web app site",
"domain","www.bearblx.vip","Fake app download site",
"domain","www.bflixyl.vip","fake web app site",
"domain","www.biankcex.me","fake crypto trading app and web service backend",
"domain","www.bikaep.vip","fake web app site",
"domain","www.bikaz.vip","fake web app site",
"domain","www.binancely-cc.com","fake web app site",
"domain","www.bitexnag.net","fake web app site",
"domain","www.bitmoxap.com","fake web app site",
"domain","www.bitops.vip","Fake app download site",
"domain","www.bitruepn.com","fake web app site",
"domain","www.bitvavoji.vip","fake web app site",
"domain","www.bitvavosp.vip","fake web app site",
"domain","www.blackrocks.vip","fake web app site",
"domain","www.blackrockx.vip","fake web app site",
"domain","www.blkcenpz.vip","Sour Grapes fake app webclip",
"domain","www.bltsoe.vip","fake web app site",
"domain","www.bltsop.vip","fake web app site",
"domain","www.bmillpv.vip","fake web app site",
"domain","www.bnexp.vip","fake web app site",
"domain","www.bogbop.com","fake web app site",
"domain","www.bogep.vip","fake web app site",
"domain","www.boggp.vip","fake web app site",
"domain","www.bogip.vip","fake web app site",
"domain","www.bqbap.vip","fake web app site",
"domain","www.bqbss.vip","fake web app site",
"domain","www.btccx.vip","Fake app download site",
"domain","www.caponepp.vip","fake web app site",
"domain","www.carnegies-tw.com","fake web app site",
"domain","www.cbxp.vip","fake web app site",
"domain","www.ccdfu.vip","fake web app site",
"domain","www.ceggap.vip","fake web app site",
"domain","www.ceggcc.vip","fake web app site",
"domain","www.ckbap.vip","fake web app site",
"domain","www.cncaps.vip","fake web app site",
"domain","www.cncolapi.vip","fake web app site",
"domain","www.cnexkz.vip","fake web app site",
"domain","www.cnexlf.vip","fake web app site",
"domain","www.cnexs.vip","Fake app download site",
"domain","www.cnfieldap.vip","fake web app site",
"domain","www.cnflexh.com","fake web app site",
"domain","www.cnmarkap.vip","fake web app site",
"domain","www.coexxap.vip","fake web app site",
"domain","www.coincoot.vip","fake web app site",
"domain","www.coineggdp.vip","fake web app site",
"domain","www.coingaot.vip","fake web app site",
"domain","www.coinmex.vip","fake web app site",
"domain","www.comketpz.vip","fake web app site",
"domain","www.cryptosp.vip","fake web app site",
"domain","www.cturkp.vip","fake web app site",
"domain","www.cwgmanap.vip","fake web app site",
"domain","www.cwgmanap.vip?shiny","fake web app site",
"domain","www.cwinsp.vip","fake web app site",
"domain","www.cyxet.vip","Fake Android app / website web JSON backend",
"domain","www.dcexx.vip","Fake app download site",
"domain","www.difundap.vip","fake web app site",
"domain","www.digitalf.vip","fake web app site",
"domain","www.digitalq.vip","fake web app site",
"domain","www.doexpro.com","Fake Android app / website web JSON backend",
"domain","www.dxdproex.com","Fake Android app / website web JSON backend",
"domain","www.dzengot.vip","fake web app site",
"domain","www.ebcap.vip","fake web app site",
"domain","www.ebceplus.com","Fake Android app / website web JSON backend",
"domain","www.eightcapp.vip","fake web app site",
"domain","www.eightcs.vip","fake web app site",
"domain","www.ethereum-mining.info","fake web app site",
"domain","www.etorout.com","fake web app site",
"domain","www.exblockin.com","Fake Android app / website web JSON backend",
"domain","www.exkcqs.vip","Fake app download site",
"domain","www.exnowap.vip","fake web app site",
"domain","www.exnows.vip","Fake app download site",
"domain","www.falcnpz.vip","fake web app site",
"domain","www.fidelity-mining.cc","fake web app site",
"domain","www.fidelity-mining.com","fake web app site",
"domain","www.fidelity-mining.net","fake web app site",
"domain","www.ftxcap.vip","fake web app site",
"domain","www.ftxssn.vip","fake web app site",
"domain","www.fuconap.vip","fake web app site",
"domain","www.gdaxss.vip","fake web app site",
"domain","www.gefwts.vip","Sour Grapes Fake Android app / website web JSON backend",
"domain","www.goedefi.net","Fake Android app / website web JSON backend",
"domain","www.gohexs.com","fake web app site",
"domain","www.gventurep.vip","fake web app site",
"domain","www.hmexge.vip","fake web app site",
"domain","www.hopoop.vip","fake web app site",
"domain","www.hotbits.vip","fake web app site",
"domain","www.hotcnap.com","fake web app site",
"domain","www.hxexnc.vip","fake web app site",
"domain","www.jobeedl.vip","fake web app site",
"domain","www.jobeeds.vip","fake web app site",
"domain","www.jobeeji.vip","fake web app site",
"domain","www.jobeema.vip","fake web app site",
"domain","www.jobeete.vip","fake web app site",
"domain","www.jpexs.vip","Fake app download site",
"domain","www.kacofinance.io","Fake Android app / website web JSON backend",
"domain","www.kbgr.vip","fake web app site",
"domain","www.kczwup.vip","Fake app download site",
"domain","www.kjsjjdbqweva.com","fake web app site",
"domain","www.kkenproap.vip","fake web app site",
"domain","www.korbitap.vip","fake web app site",
"domain","www.kscmkttp.vip","fake web app site",
"domain","www.kxevzf.com","fake web app site",
"domain","www.kybbitap.vip","fake web app site",
"domain","www.kybitap.vip","fake web app site",
"domain","www.kybnets.vip","Fake app download site",
"domain","www.larcmas.live/h5/","fake web app site",
"domain","www.limuu.vip","fake web app site",
"domain","www.loksi.vip","fake web app site",
"domain","www.lunnocp.vip","fake web app site",
"domain","www.lunnowq.vip","fake web app site",
"domain","www.lunox.vip","fake web app site",
"domain","www.luonoap.vip","fake web app site",
"domain","www.lykkexpv.vip","fake web app site",
"domain","www.mbitvnex.com","Fake Android app / website web JSON backend",
"domain","www.mecadrw.vip","fake web app site",
"domain","www.megamilap.vip","fake web app site",
"domain","www.megamildp.vip","fake web app site",
"domain","www.mercdiv.vip","fake web app site",
"domain","www.metamaskmin.pro","fake web app site",
"domain","www.msfst.vip","Fake app download site",
"domain","www.msfst.viplogin/reg.html","Fake app download site",
"domain","www.nagaxap.com","fake web app site",
"domain","www.okusap.vip","fake web app site",
"domain","www.okxusa.com","fake web app site",
"domain","www.okxuse.com","Fake app download site",
"domain","www.okxusee.vip","fake web app site",
"domain","www.onecopi.vip","fake web app site",
"domain","www.pbrokerbp.vip","fake web app site",
"domain","www.pexccpz.vip","fake web app site",
"domain","www.pexccsx.vip","Fake Android app / website web JSON backend",
"domain","www.pitbears.vip","Fake app download site",
