Indicator,Data,Note
Description,https://news.sophos.com/en-us/2024/04/26/malware-campaign-abuses-legit-defender-binaries/,Malware campaign attempts abuse of defender binaries [published 26 April 2024]
IP,185.219.221.136,C2 server
ip,185.117.91.230,hosting site
ip,149.248.79.62,Oyster/CleanUpLoader C2 server
ip,206.166.251.114,Oyster/CleanUpLoader C2 server
ip,64.95.10.243,Oyster/CleanUpLoader C2 server
sha256,a06a36de9b35bf54940b70a0ba4c3f836e42613b51c96bc265ee8910c6ae1849,
sha256,a115db9a3cb90187e62478feaddeccd5ac3b7a3685a617a55e14c7f2ce7d9c22,
sha256,a609089768fb1cd2d740cb4ff65c543b01e6da4bd5fa02011761490459227030,
sha256,a64dcff78fae79cc878f62d832916752d97326a2588693affa6edb1f192a748f,
sha256,a7794d56213aa17da06c4104f97c3822f08f1c8e02b38ec0190e7812c2c76972,
sha256,a866b0205aedfc7677e88e7b8eb71f02c3f46337df277206423e657cdfeae2d6,
sha256,a9677832e0b19aab863d243aec2245a0be5d916477bd58ae10b8674b912161b2,
sha256,a976728c8b3844328f0f7032c88071a33061f01df85c39a87aade7c2695455f9,
sha256,aab0e74b9c6f1326d7ecea9a0de137c76d52914103763ac6751940693f26cbb1,
sha256,aab9e3d3f923f7c17694df3bd395aea1112f87e63580c1762579c43056d3b2da,
sha256,ac60c0a4a174797bccaafed23d5076cda1182bab72ff778bec389ad27fa0094a,
sha256,aee22a35cbdac3f16c3ed742c0b1bfe9739a13469cf43b36fb2c63565111028c,
sha256,af9049e31eb0d43ff8d83fb8f67a6415b156d7f71cef6c7b784d0d167629a462,
sha256,b13ebb1dd390e34b47c61b27ebfe57f4fbd01a9fb71fab79636ed5734c59874f,
sha256,b26e4662c6a1c61ebba9abf6c4a96f5256158846542401a539af1d8d597a8d29,
sha256,b59c99e41c8d7ff8f5a2265caf51325cbe7b5c0e3024e75cbb23bcc384f1ff7a,
sha256,b5d968deba0914f000d9a281d94088b7c83c04b15f3b8d58205849ad6df57721,
sha256,b67eb16e375407648c85fb731366af82f938f771e8eb77e060164da305fcea59,
sha256,b991bea14708bd703a46fa6f42e166c427b93157060f97b0284301274bb55767,
sha256,bb04ae24b09d50c9a138cc3d902b3c017896e4c30384b1e2e8e7882148792ec3,
sha256,bc4c4b37114da088688083566f45a8afa07b756ac7e02522797ae7c9faaaa127,
sha256,bd012c215761b13c55b2ff254c2b18f29af006e188862849719ae73a0387e968,
sha256,be992d892d7448e2fe6d6bb0f6de72fbb247ef068e6cbb8c302a2486a8aceebb,
sha256,c22b8c9f0e7cfb4c64651324eb1fbe8aef0b7d72cad9197280fec101067b19e3,
sha256,c4c026138e11e9fdf6e24643b4914a530d30fbe944d1c11bd054d6238c8a4e7e,
sha256,c67ac406fa56bb4bd65b005b472e36a283d9b300506e743dbef118e9a26a2b1c,
sha256,c6b1c96cf3ea2aa5373ebdaab3ea9815100e4b8febc009bf464771531892a5e4,
sha256,c8f686cd58ab02adb7261536a3f21ee0fedbd155ed33e887e3914a48dae5f40d,
sha256,c9159fe9c3845bdf97efcd20c5f1bfe252c6429878768709fb59fb71a5312378,
sha256,caae3a24c2f02c86cff5fcc3d720078ebbe85eaad9dee68a4ba03d16a212dbb4,
sha256,cce2c944c38e496a4b6ea34f81fcad15e9052874b30496940ff11baee55c952c,
sha256,cd90e313fa18cc71c65f2c4db3c21ca33241359d6174c771bad2118c0abf8cee,
sha256,ce056ace14b47eb50d4ece1a9de21aacc2d425560236eab9ba067954a67fe7e0,
sha256,ce79c488866ea23c1ca3d57e197cd5a90b7a9cbfd23387f1aa7beacf7641a3ac,
sha256,cf5945f06e66c4ab2147ce60c26ffcd30afec0d73a332a34acafe81a975aec6a,
sha256,d0183ef7b6efd3a68c5d77b9e56a9a5011b37d390e7220c635c9da4e0211c936,
sha256,d5bbd0ee3dba60ce9d267d68e9e271c0934a628b12a73f9edad4756025e0e1e4,
sha256,dab746b6a81d30ecd619c73d79f7547a8504a164b1a78d221a068c7716fbcb38,
sha256,dbbe8aaab05fd5b59b57fee83c686b1c52687ac268cdaccd239cfaf07eb3823d,
sha256,dbc2e39cbee0266495160ede50c23925ecd140ce2ce4a404ed266b6c31b4193a,
sha256,dc50491b564dd8464d6be3b5605e0b55016acb8341b6b21ced5858baecc22f65,
sha256,dcf173c812b85f0c890122d27b7e3b2e8b311a105106c89c6e33debc40cc8f3e,
sha256,df63ad289440573c16c81a9105907795148d5ae60b659a52c71aa20d013d7d7f,
sha256,e049124a50abaf07902bf5095ff218130f70254609751384c4ec916842b7b256,
sha256,e4151746f0d818479c399e118c9f6a412cba02de65e070e4895f27d9178d88f9,
sha256,e5aae5e2ea955c02ebdae08292dbb25015d2ec4ae5327f493e73f1fcb4b9ecb4,
sha256,e6a80688bc43148dd965c852e4a7a44dd54af3f18ea1782769e00bf8b7b34c7c,
sha256,e757aec8c626828d80558f2b47b35507bd3439630ba8eb2aa48e9dcdf7dd6805,
sha256,eb6b8894e774e359fb250e253904071a2b33730bf88557312f093eb682611dd4,
sha256,ec2c279eaa06d246afe32a3c3115adcfdb6847b864dbc3c5c9a943927c2bcd97,
sha256,ec7bcf048cc605f66b9e2ce320784347a12f4fdefab250f2347bd521ec2ba361,
sha256,ee59e202b12cb9c0f0f8049c43fddc0800bd1af2a39b1e6a05fe441d8cd4e98f,
sha256,f4673b8db5634b2c632ccf32661ee0576ddb61d01ed329a894cc46edd777e362,
sha256,f522fe57036fd9d5563b00688221158ffeb66ca3e10fa4990998582729249c33,
